"NAF","HS4","weight"
"1320Z",5513,0.0176
"1320Z",5514,0.0179
"1320Z",5515,0.0572
"1320Z",5516,0.0495
"1391Z",6005,0.0001
"1391Z",6006,0.0001
"1391Z",6004,0.0001
"1391Z",6001,0.041
"1391Z",6002,0.9551
"1391Z",4304,0.0039
"1391Z",6003,0.0001
"1392Z",5805,0.0016
"1392Z",6301,0.032
"1392Z",6302,0.2885
"1392Z",6303,0.0745
"1392Z",6304,0.0324
"1392Z",6305,0.0337
"1392Z",6306,0.1083
"1392Z",6307,0.2442
"1392Z",8804,0.0262
"1392Z",9404,0.1478
"1392Z",6308,0.0107
"1393Z",5703,0.5663
"1393Z",5704,0.147
"1393Z",5705,0.1547
"1393Z",5701,0.0313
"1393Z",5702,0.1008
"1394Z",5607,0.5839
"1394Z",6310,0.0502
"1394Z",5609,0.1479
"1394Z",5608,0.218
"1395Z",5603,1
"1396Z",5908,0.0003
"1396Z",5910,0.0107
"1396Z",5907,0.0217
"1396Z",5909,0.0299
"1396Z",5911,0.1906
"1396Z",5903,0.3374
"1396Z",5902,0.0278
"1396Z",5901,0.0121
"1396Z",5808,0.0473
"1396Z",5807,0.0537
"1396Z",5806,0.1875
"1396Z",5809,0.0057
"1396Z",5604,0.0545
"1396Z",5605,0.0207
"1399Z",5601,0.1832
"1399Z",5810,0.0976
"1399Z",5602,0.0994
"1399Z",5811,0.0115
"1399Z",5804,0.154
"1399Z",9616,0.4
"1399Z",5606,0.0543
"1411Z",4203,1
"1412Z",6204,0.5465
"1412Z",6211,0.2439
"1412Z",6203,0.2096
"1413Z",6202,0.1309
"1413Z",6201,0.074
"1413Z",6101,0.012
"1413Z",6102,0.0216
"1413Z",6309,0.0205
"1413Z",6204,0.3981
"1413Z",6103,0.0199
"1413Z",6104,0.1704
"1413Z",6203,0.1527
"1414Z",6206,0.1372
"1414Z",6105,0.0804
"1414Z",6205,0.0754
"1414Z",6108,0.0856
"1414Z",6207,0.0029
"1414Z",6107,0.0329
"1414Z",6106,0.0405
"1414Z",6208,0.0167
"1414Z",6109,0.3836
"1414Z",6212,0.1447
"1419Z",6504,0.0024
"1419Z",6215,0.0168
"1419Z",6217,0.0245
"1419Z",6506,0.0513
"1419Z",6117,0.0154
"1419Z",6112,0.0561
"1419Z",6114,0.0766
"1419Z",6116,0.0236
"1419Z",6111,0.0562
"1419Z",6502,0.0001
"1419Z",4203,0.157
"1419Z",6507,0.0025
"1419Z",6209,0.0196
"1419Z",6210,0.104
"1419Z",6211,0.2061
"1419Z",6216,0.0089
"1419Z",6501,0.0001
"1419Z",6213,0.0023
"1419Z",6505,0.0316
"1419Z",6113,0.0126
"1419Z",6214,0.1327
"1420Z",4303,1
"1511Z",4115,0.0001
"1511Z",4302,0.0154
"1511Z",4112,0.0001
"1511Z",4114,0.0001
"1511Z",4104,0.7522
"1511Z",4105,0.105
"1511Z",4106,0.0083
"1511Z",4113,0.0001
"1511Z",4107,0.1192
"1439Z",6110,1
"1722Z",4823,0.1752
"1722Z",4818,0.7554
"1722Z",5601,0.0694
"1722Z",9619,0.0001
"1610A",4409,0.0474
"1610A",4407,0.3905
"1610A",4406,0.0497
"1610A",4404,0.0125
"1610A",4403,0.3686
"1610A",4401,0.1304
"1610A",4405,0.0009
"1621Z",4410,0.3894
"1621Z",4412,0.182
"1621Z",4408,0.0947
"1621Z",4411,0.3279
"1621Z",4413,0.006
"1622Z",4418,1
"1623Z",9406,0.6565
"1623Z",4418,0.3435
"1624Z",4416,0.7858
"1624Z",4415,0.2142
"1629Z",6603,0.0022
"1629Z",4504,0.1893
"1629Z",4503,0.0635
"1629Z",4501,0.0113
"1629Z",9614,0.0045
"1629Z",4417,0.0099
"1629Z",4502,0.0001
"1629Z",4419,0.0262
"1629Z",4420,0.07
"1629Z",4421,0.2015
"1629Z",4414,0.0388
"1629Z",4401,0.3238
"1629Z",4602,0.0221
"1629Z",4601,0.0367
"1711Z",4703,0.5995
"1711Z",4704,0.0205
"1711Z",4701,0.0029
"1711Z",4705,0.0079
"1711Z",4702,0.3009
"1711Z",4706,0.0682
"1712Z",4809,0.0031
"1712Z",4808,0.0333
"1712Z",4806,0.0661
"1712Z",4805,0.1921
"1712Z",4804,0.0807
