"activitycode_1","activitycode_2","proximity"
"1101Z","1102B",0.9995
"1101Z","1104Z",0.9995
"1101Z","4634Z",0.4995
"1101Z","4725Z",0.9995
"1102A","1102B",0.4995
"1102B","0121Z",0.1995
"1102B","1102A",0.2495
"1102B","1102B",0.3328333333
"1102B","6820B",0.9995
"1102B","8292Z",0.9995
"1103Z","0124Z",0.9995
"1104Z","1101Z",0.9995
"1104Z","1104Z",0.4995
"1105Z","1101Z",0.9995
"1105Z","1105Z",0.9995
"1105Z","4634Z",0.9995
"1105Z","4725Z",0.9995
"1105Z","5610A",0.9995
"1105Z","5630Z",0.4995
"1200Z","0321Z",0.9995
"1200Z","1020Z",0.9995
"1310Z","1310Z",0.9995
"1310Z","4771Z",0.9995
"1310Z","5210B",0.9995
"1320Z","1320Z",0.9995
"1320Z","1330Z",0.9995
"1320Z","1392Z",0.1995
"1320Z","1512Z",0.9995
"1320Z","4641Z",0.9995
"1330Z","1419Z",0.9995
"1330Z","1623Z",0.9995
"1330Z","1724Z",0.9995
"1330Z","1812Z",0.1661666667
"1330Z","4664Z",0.9995
"1392Z","1320Z",0.4995
"1392Z","1392Z",0.2495
"1392Z","1396Z",0.9995
"1392Z","1413Z",0.9995
"1392Z","1512Z",0.9995
"1392Z","1623Z",0.9995
"1392Z","2511Z",0.9995
"1392Z","2512Z",0.9995
"1392Z","3109A",0.9995
"1392Z","3109B",0.9995
"1392Z","4332A",0.9995
"1392Z","4641Z",0.3328333333
"1392Z","4642Z",0.9995
"1392Z","4647Z",0.9995
"1392Z","4751Z",0.9995
"1392Z","6820B",0.9995
"1392Z","8299Z",0.4995
"1392Z","9319Z",0.9995
"1392Z","9529Z",0.9995
"1392Z","9609Z",0.9995
"1394Z","1394Z",0.9995
"1394Z","2593Z",0.9995
"1395Z","4641Z",0.9995
"1396Z","1392Z",0.4995
"1396Z","1396Z",0.4995
"1396Z","4641Z",0.9995
"1396Z","7211Z",0.9995
"1399Z","1392Z",0.9995
"1399Z","1395Z",0.9995
"1399Z","1396Z",0.2495
"1399Z","1812Z",0.9995
"1399Z","4641Z",0.9995
"1411Z","4649Z",0.9995
"1411Z","4771Z",0.4995
"1412Z","1413Z",0.9995
"1412Z","4669B",0.9995
"1412Z","7112B",0.9995
"1413Z","1412Z",0.9995
"1413Z","1413Z",0.1995
"1413Z","1414Z",0.9995
"1413Z","1419Z",0.4995
"1413Z","1439Z",0.9995
"1413Z","1512Z",0.9995
"1413Z","1812Z",0.9995
"1413Z","2222Z",0.9995
"1413Z","2829B",0.9995
"1413Z","4641Z",0.9995
"1413Z","4642Z",0.1995
"1413Z","4751Z",0.9995
"1413Z","4754Z",0.9995
"1413Z","4759B",0.9995
"1413Z","4771Z",0.1106111111
"1413Z","5610C",0.9995
"1413Z","6820B",0.9995
"1413Z","7022Z",0.9995
"1413Z","7410Z",0.4995
"1413Z","9002Z",0.9995
"1413Z","9529Z",0.3328333333
"1414Z","1330Z",0.9995
"1414Z","1413Z",0.9995
"1414Z","4642Z",0.9995
"1419Z","1413Z",0.3328333333
"1419Z","1414Z",0.9995
"1419Z","1419Z",0.9995
"1419Z","1431Z",0.9995
"1419Z","1512Z",0.9995
"1419Z","1812Z",0.9995
"1419Z","4642Z",0.1661666667
"1419Z","4771Z",0.2495
"1419Z","7410Z",0.4995
"1419Z","8230Z",0.9995
"1419Z","9529Z",0.9995
"1420Z","6499Z",0.9995
"1439Z","1413Z",0.9995
"1439Z","1439Z",0.4995
"1439Z","4751Z",0.4995
"1511Z","1512Z",0.9995
"1511Z","3030Z",0.9995
"1512Z","1392Z",0.9995
"1512Z","1413Z",0.9995
"1512Z","1419Z",0.9995
"1512Z","1512Z",0.9995
"1512Z","2932Z",0.4995
"1512Z","3020Z",0.9995
"1512Z","3230Z",0.9995
"1512Z","4532Z",0.9995
"1512Z","4649Z",0.9995
"1512Z","4791B",0.9995
"1512Z","6820B",0.9995
"1512Z","7022Z",0.9995
"1512Z","8559A",0.9995
"1520Z","1520Z",0.9995
"1520Z","3250A",0.9995
"1520Z","4642Z",0.4995
"1520Z","4764Z",0.9995
"1520Z","4772A",0.4995
"1520Z","6820B",0.4995
"1520Z","8690E",0.9995
"1610A","0210Z",0.9995
"1610A","0220Z",0.3328333333
"1610A","0240Z",0.9995
"1610A","1610A",0.4995
"1610A","1622Z",0.9995
"1610A","1623Z",0.4995
"1610A","3511Z",0.9995
